Date,Open,High,Low,Close,Volume
2019-04-03,46.316,47.148,46.072,46.952,21996093
2019-04-04,47.051,47.54,46.855,47.296,38514964
2019-04-08,47.491,48.03,46.659,47.197,23733460
2019-04-09,47.197,47.54,46.952,47.344,19938843
2019-04-10,47.148,47.735,46.757,47.443,16183231
2019-04-11,47.443,47.59,46.219,46.365,37626940
2019-04-12,46.219,46.561,45.924,46.561,25638023
2019-04-15,46.855,47.393,45.924,46.121,37958996
2019-04-16,45.974,47.491,45.778,47.247,37355595
2019-04-17,47.296,47.834,47.1,47.688,25773895
2019-04-18,47.59,47.638,47.247,47.344,13743662
2019-04-23,46.952,47.1,46.414,46.61,28672609
2019-04-24,46.855,46.952,45.974,46.561,22530287
2019-04-25,46.464,46.512,45.043,45.24,42433628
2019-04-26,45.141,45.631,44.847,45.19,36549461
2019-04-29,45.337,45.974,45.043,45.24,47238949
2019-04-30,45.141,45.436,45.043,45.19,27828753
2019-05-02,45.19,45.436,45.092,45.288,4438742
2019-05-03,45.19,45.288,44.75,45.288,6818611
2019-05-06,42.89,43.428,41.763,42.449,63046563
2019-05-07,42.84,43.036,42.154,42.938,43483974
2019-05-08,42.106,42.938,42.007,42.057,38299415
2019-05-09,41.91,42.057,40.686,40.735,58508289
2019-05-10,41.616,42.79,40.686,42.252,72029609
2019-05-14,40.637,41.763,40.637,41.224,40094332
2019-05-15,41.469,42.449,41.469,41.959,30887940
2019-05-16,41.91,42.252,41.812,42.106,22787384
2019-05-17,42.302,42.302,40.93,41.078,37333543
2019-05-20,41.029,41.274,40.294,40.588,37470252
2019-05-21,40.686,41.616,40.637,40.883,29446823
2019-05-22,41.078,41.322,40.783,40.98,19184899
2019-05-23,40.833,40.98,40.197,40.441,37730546
2019-05-24,40.441,40.93,40.343,40.539,22404337
2019-05-27,40.539,41.322,40.147,41.029,29488526
2019-05-28,41.078,41.714,40.98,41.224,25659045
2019-05-29,41.126,41.763,40.98,41.224,17284182
2019-05-30,41.224,41.421,40.686,41.078,33413806
2019-05-31,41.029,41.421,40.735,40.883,23587621
2019-06-03,40.98,41.518,40.783,40.883,17740621
2019-06-04,41.175,41.175,40.539,40.833,15576076
2019-06-05,41.126,41.274,40.637,40.93,14466190
2019-06-06,40.783,40.783,40.245,40.392,21810545
2019-06-10,40.686,40.93,40.294,40.783,23594457
2019-06-11,40.93,42.106,40.93,41.91,24138752
2019-06-12,41.861,41.861,41.518,41.567,14072559
2019-06-13,41.469,41.714,41.078,41.666,11544116
2019-06-14,41.371,41.763,41.175,41.274,13733603
2019-06-17,41.274,41.714,41.175,41.322,14340066
2019-06-18,41.421,41.666,41.126,41.469,16958010
2019-06-19,42.449,43.182,42.252,42.399,32902696
2019-06-20,42.498,43.967,42.399,43.721,34502274
2019-06-21,43.623,44.064,43.476,43.673,23133468
2019-06-24,43.771,43.967,43.575,43.721,9911403
2019-06-25,43.721,43.721,42.595,43.232,22838489
2019-06-26,42.84,43.232,42.84,43.036,9504927
2019-06-27,43.232,43.917,43.232,43.673,19549693
2019-06-28,43.721,43.721,43.33,43.623,14848033
2019-07-02,44.847,44.995,44.505,44.7,24145455
2019-07-03,44.554,44.554,44.014,44.259,23002260
2019-07-04,44.259,44.456,43.721,43.967,11755149
2019-07-05,44.113,44.309,43.819,44.162,9373729
2019-07-08,43.967,43.967,42.743,43.232,16180541
2019-07-09,43.281,43.33,42.938,43.085,7871526
2019-07-10,43.33,43.33,42.938,43.085,12573581
2019-07-11,43.281,43.819,43.134,43.281,14343688
2019-07-12,43.379,43.721,43.182,43.476,13631295
2019-07-15,43.232,44.064,42.79,43.771,22192851
2019-07-16,43.771,43.771,43.476,43.526,9940513
2019-07-17,43.379,43.623,43.182,43.476,11007224
2019-07-18,43.182,43.379,43.036,43.134,9752832
2019-07-19,43.379,43.819,43.33,43.526,14033255
2019-07-22,43.476,43.575,42.987,43.134,14740972
2019-07-23,43.281,43.379,43.085,43.281,7139482
2019-07-24,43.476,43.967,43.476,43.623,13891833
2019-07-25,43.811,44.108,43.663,44.008,11647037
2019-07-26,43.91,44.207,43.86,44.008,13451830
2019-07-29,43.96,44.058,43.762,43.96,10090072
2019-07-30,43.96,44.503,43.96,44.207,11157169
2019-07-31,44.058,44.058,43.712,43.96,11387281
2019-08-01,43.515,43.663,43.218,43.317,11119034
2019-08-02,42.033,42.428,41.934,42.231,27515835
2019-08-05,41.786,41.786,40.946,40.996,27851242
2019-08-06,40.501,40.897,39.811,40.897,29451043
2019-08-07,40.798,40.848,40.453,40.65,20155225
2019-08-08,40.897,41.144,40.798,40.996,18279398
2019-08-09,41.095,41.193,40.601,40.601,10072862
2019-08-12,40.551,41.293,40.551,40.946,17179404
2019-08-13,40.798,41.045,40.699,40.848,13428299
2019-08-14,41.736,41.885,41.341,41.44,14084736
2019-08-15,40.749,41.539,40.551,41.44,11489012
2019-08-16,41.44,41.934,41.243,41.736,15460196
2019-08-19,41.983,42.675,41.885,42.576,23169169
